country,variable,percentile,year,ppp,age,pop
XN-PPP,xlcusp999i,p0p100,2023,1,999,i
XR-MER,xlcusp999i,p0p100,2023,0.30793253,999,i
XR-PPP,xlcusp999i,p0p100,2023,1,999,i
XS-MER,xlcusp999i,p0p100,2023,0.28054781,999,i
XS-PPP,xlcusp999i,p0p100,2023,1,999,i
YE,xlcusp999i,p0p100,2023,266.618835,999,i
YU,xlcusp999i,p0p100,2023,11.6948376,999,i
ZA,xlcusp999i,p0p100,2023,7.28346109,999,i
ZM,xlcusp999i,p0p100,2023,6.46603298,999,i
ZW,xlcusp999i,p0p100,2023,0.72717088,999,i
ZZ,xlcusp999i,p0p100,2023,768.720276,999,i
